City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Takaka,NZ,-40.85,172.8,55.98,95,100,4.54,overcast clouds
239,Palmerston,AU,-12.486,130.9833,75.18,88,90,10.36,light intensity shower rain
240,Daru,PG,-9.0763,143.2092,78.89,83,81,12.77,broken clouds
241,Necochea,AR,-38.5473,-58.7368,62.04,56,85,10.11,overcast clouds
242,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,13,20,21.85,few clouds
243,Saldanha,ZA,-33.0117,17.9442,59.36,75,18,8.48,few clouds
244,Mareeba,AU,-17.0,145.4333,70.52,96,41,4.97,scattered clouds
245,Amot,NO,59.5714,7.9877,36.77,69,78,2.19,broken clouds
246,Portland,US,45.5234,-122.6762,53.29,94,90,1.01,moderate rain
247,Wairoa,NZ,-39.0333,177.3667,55.6,76,100,1.99,overcast clouds
248,Tautira,PF,-17.7333,-149.15,75.22,89,100,12.28,light rain
249,Caravelas,BR,-17.7125,-39.2481,79.86,67,69,9.28,broken clouds
250,Orange Walk,BZ,17.8333,-88.8333,80.46,60,61,3.49,broken clouds
251,Vestmanna,FO,62.1564,-7.1664,49.12,100,90,18.41,mist
252,Narsaq,GL,60.9167,-46.05,37.62,79,92,3.04,overcast clouds
253,Cayenne,GF,4.9333,-52.3333,82.09,85,75,7.0,broken clouds
254,Lavrentiya,RU,65.5833,-171.0,24.03,87,100,10.0,overcast clouds
255,Tiznit,MA,29.5833,-9.5,70.29,60,0,6.29,clear sky
256,Mondolfo,IT,43.7494,13.0979,61.68,80,54,5.5,broken clouds
257,Lamu,KE,-2.2717,40.902,77.22,81,33,9.86,scattered clouds
258,Katangli,RU,51.7102,143.2326,32.23,92,20,12.26,few clouds
259,Sao Felix Do Xingu,BR,-6.6447,-51.995,88.86,57,93,3.94,overcast clouds
260,Chokurdakh,RU,70.6333,147.9167,-4.54,94,100,5.61,overcast clouds
261,San Patricio,US,28.017,-97.5169,86.02,58,98,11.34,overcast clouds
262,Aklavik,CA,68.2191,-135.0107,23.23,93,57,10.16,broken clouds
263,Amarante Do Maranhao,BR,-5.5667,-46.7422,82.26,71,100,1.66,moderate rain
264,Tosya,TR,41.0155,34.0401,55.96,40,0,1.97,clear sky
265,Severo-Kurilsk,RU,50.6789,156.125,37.9,80,50,9.46,scattered clouds
266,Nishihara,JP,26.1842,127.7558,72.68,61,75,9.22,broken clouds
267,Bowen,AU,-20.0167,148.2333,71.82,76,35,8.08,scattered clouds
268,Mackay,AU,-21.15,149.2,76.98,83,90,10.36,overcast clouds
269,Kodiak,US,57.79,-152.4072,42.31,81,90,8.05,light rain
270,Lalibela,ET,12.0333,39.0333,59.49,46,57,8.97,broken clouds
271,Honiara,SB,-9.4333,159.95,76.21,83,10,3.98,clear sky
272,Saint-Georges,GD,12.0564,-61.7485,87.48,66,20,19.57,few clouds
273,Bredasdorp,ZA,-34.5322,20.0403,57.27,62,78,9.8,broken clouds
274,Bestobe,KZ,52.4994,73.0975,50.83,62,94,21.0,overcast clouds
275,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,90,8.05,overcast clouds
276,Bijie,CN,27.3125,105.2942,47.34,94,100,4.23,overcast clouds
277,Vila Velha,BR,-20.3297,-40.2925,78.75,73,40,14.97,scattered clouds
278,Mangrol,IN,21.1167,70.1167,79.97,64,12,9.75,few clouds
279,Rumonge,BI,-3.9736,29.4386,77.52,70,34,4.76,scattered clouds
280,Hambantota,LK,6.1241,81.1185,79.83,77,14,13.0,few clouds
281,Awbari,LY,26.5921,12.7805,88.43,16,87,6.08,overcast clouds
282,Mandalgovi,MN,45.7625,106.2708,35.89,32,0,4.68,clear sky
283,Gat,IL,31.61,34.7642,74.08,100,0,8.1,clear sky
284,Maneadero,MX,31.7167,-116.5667,66.09,79,82,1.99,broken clouds
285,Gornyy,RU,55.1153,83.9059,41.79,91,100,22.7,light rain
286,North Platte,US,41.1239,-100.7654,44.49,81,90,5.75,overcast clouds
287,Dejen,ET,10.1667,38.1333,54.61,58,73,3.69,broken clouds
288,Sao Miguel Do Tapuio,BR,-5.5036,-41.3233,98.69,28,99,7.63,overcast clouds
289,Westport,US,41.1415,-73.3579,59.05,64,90,5.99,overcast clouds
290,Lethem,GY,3.3803,-59.7968,92.86,44,34,7.72,scattered clouds
291,Warrington,GB,53.3925,-2.5802,54.86,76,90,1.99,overcast clouds
292,Cabedelo,BR,-6.9811,-34.8339,86.67,66,42,12.15,scattered clouds
293,Sohag,EG,26.557,31.6948,77.29,34,2,13.82,clear sky
294,Kaduqli,SD,11.0167,29.7167,87.73,37,69,3.44,broken clouds
295,Port Lincoln,AU,-34.7333,135.8667,53.65,78,5,10.58,clear sky
296,Victoria,HK,22.2855,114.1577,70.32,77,73,1.01,broken clouds
297,Iqaluit,CA,63.7506,-68.5145,29.7,74,77,5.01,broken clouds
298,Pevek,RU,69.7008,170.3133,12.29,94,100,7.11,overcast clouds
299,Tateyama,JP,34.9833,139.8667,57.09,57,73,11.39,broken clouds
300,Sinop,TR,41.7711,34.8709,48.63,65,1,1.23,clear sky
301,Los Alamos,US,35.8881,-106.307,63.14,28,1,4.0,clear sky
302,Pangnirtung,CA,66.1451,-65.7125,27.61,93,100,2.57,light snow
303,Bac Lieu,VN,9.285,105.7244,80.35,81,18,6.78,moderate rain
304,Luganville,VU,-15.5333,167.1667,77.36,89,61,4.97,broken clouds
305,Kizhinga,RU,51.8462,109.9097,31.32,72,38,4.21,scattered clouds
306,Bay Roberts,CA,47.5999,-53.2648,63.43,91,100,5.99,light rain
307,Urubicha,BO,-15.3833,-62.95,101.95,28,22,9.19,few clouds
308,Shubarshi,KZ,48.5872,57.1869,50.52,50,2,9.78,clear sky
309,Egvekinot,RU,66.3167,-179.1667,8.89,81,100,7.34,overcast clouds
310,Oksfjord,NO,70.2396,22.3479,34.72,96,100,8.95,snow
311,Esso,RU,55.9333,158.7,24.84,98,100,3.87,overcast clouds
312,Makat,KZ,47.6469,53.3463,52.68,46,0,9.17,clear sky
313,Garowe,SO,8.4054,48.4845,85.24,32,4,6.73,clear sky
314,Pozo Colorado,PY,-23.4923,-58.7972,108.23,20,0,17.11,clear sky
315,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,78,29,15.46,scattered clouds
316,Lufilufi,WS,-13.8745,-171.5986,76.78,70,100,16.69,overcast clouds
317,Irbeyskoye,RU,55.6428,95.4522,34.05,69,53,6.82,broken clouds
318,Ningxiang,CN,37.34,111.2052,43.18,74,58,3.67,broken clouds
319,Mandera,KE,3.9366,41.867,83.01,58,83,15.17,broken clouds
320,Takhatpur,IN,22.15,81.8667,68.97,64,3,4.05,clear sky
321,Edd,ER,13.9297,41.6925,87.66,61,33,11.95,scattered clouds
322,Beloha,MG,-25.1667,45.05,72.79,74,13,7.47,few clouds
323,Uruana,BR,-15.4981,-49.6875,90.95,35,82,7.18,broken clouds
324,Grand Gaube,MU,-20.0064,57.6608,75.6,73,3,5.01,clear sky
325,Road Town,VG,18.4167,-64.6167,86.2,66,20,9.22,few clouds
326,Maniitsoq,GL,65.4167,-52.9,25.97,51,67,7.65,broken clouds
327,Foz Do Iguacu,BR,-25.5478,-54.5881,68.92,100,90,14.97,thunderstorm
328,Omsukchan,RU,62.5333,155.8,1.11,91,100,2.84,overcast clouds
329,Hasaki,JP,35.7333,140.8333,41.4,55,0,14.32,clear sky
330,Wukari,NG,7.85,9.7833,74.91,86,78,2.37,broken clouds
331,Shelburne,CA,44.0787,-80.2041,45.9,67,99,4.21,overcast clouds
332,Atagay,RU,55.1033,99.3875,32.92,88,72,4.63,broken clouds
333,Marang,MY,5.2056,103.2059,76.91,80,45,1.19,scattered clouds
334,Latung,PH,5.5,120.8833,81.46,77,100,9.64,overcast clouds
335,Pasareni,RO,46.4833,24.7,50.02,66,88,9.31,overcast clouds
336,Maceio,BR,-9.6658,-35.7353,90.84,62,40,14.97,scattered clouds
337,Nemuro,JP,43.3236,145.575,44.04,74,32,10.89,scattered clouds
338,Marica,BR,-22.9194,-42.8186,91.29,72,0,13.8,clear sky
339,Innisfail,AU,-17.5333,146.0333,72.57,88,33,1.52,scattered clouds
340,Skala,PL,50.2305,19.8536,41.4,88,75,5.75,broken clouds
341,Ambanja,MG,-13.6833,48.45,77.4,85,61,0.31,broken clouds
342,Asau,RO,46.4333,26.4,47.95,60,6,4.83,light rain
343,Borba,BR,-4.3878,-59.5939,94.89,42,98,1.68,overcast clouds
344,Cabinda,AO,-5.55,12.2,79.3,81,92,8.37,overcast clouds
345,Laguna,US,38.421,-121.4238,63.25,82,75,3.0,broken clouds
346,Coquimbo,CL,-29.9533,-71.3436,60.53,67,20,10.36,few clouds
